Position,Coverage,Identity
424,2134.00,1.00
425,2132.00,0.99
426,2140.00,0.99
427,2149.00,1.00
428,2156.00,1.00
429,2183.00,1.00
430,2192.00,1.00
431,2201.00,0.52
432,2229.00,1.00
433,2235.00,1.00
434,2247.00,0.99
435,2242.00,1.00
436,2245.00,1.00
437,2257.00,0.99
438,2266.00,1.00
439,2267.00,1.00
440,2278.00,1.00
441,2293.00,0.99
442,2299.00,1.00
443,2308.00,1.00
444,2313.00,1.00
445,2335.00,1.00
446,2348.00,0.67
447,2354.00,1.00
448,2354.00,0.99
449,2370.00,1.00
450,2374.00,1.00
451,2388.00,1.00
452,2391.00,1.00
453,2411.00,1.00
454,2426.00,1.00
455,2431.00,1.00
456,2441.00,0.64
457,2441.00,1.00
458,2450.00,1.00
459,2457.00,1.00
460,2467.00,1.00
461,2468.00,0.99
462,2483.00,0.99
463,2504.00,1.00
464,2513.00,1.00
465,2508.00,0.99
466,2511.00,1.00
467,2516.00,0.50
468,2518.00,0.99
469,2530.00,1.00
470,2526.00,1.00
471,2519.00,0.64
472,2512.00,0.99
473,2518.00,0.99
474,2549.00,1.00
475,2559.00,1.00
476,2574.00,1.00
477,2565.00,1.00
478,2564.00,0.99
479,2574.00,0.99
480,2606.00,1.00
481,2624.00,1.00
482,2614.00,1.00
483,2609.00,1.00
484,2602.00,1.00
485,2610.00,1.00
486,2609.00,1.00
487,2590.00,1.00
488,2590.00,1.00
489,2590.00,1.00
490,2587.00,1.00
491,2615.00,1.00
492,2620.00,0.99
493,2635.00,0.99
494,2646.00,1.00
495,2645.00,1.00
496,2635.00,0.99
497,2617.00,0.99
498,2607.00,1.00
499,2590.00,1.00
500,2590.00,1.00
501,2595.00,0.63
502,2607.00,1.00
503,2601.00,1.00
504,2617.00,1.00
505,2630.00,1.00
506,2643.00,0.99
507,2659.00,1.00
508,2655.00,0.99
509,2647.00,1.00
510,2650.00,1.00
511,2658.00,1.00
512,2669.00,1.00
513,2660.00,1.00
514,2664.00,0.98
515,2679.00,0.99
516,2689.00,1.00
517,2689.00,0.99
518,2703.00,1.00
519,2707.00,1.00
520,2723.00,1.00
521,2731.00,1.00
522,2731.00,1.00
523,2732.00,1.00
524,2719.00,1.00
525,2721.00,1.00
526,2739.00,1.00
527,2736.00,1.00
528,2731.00,1.00
529,2744.00,1.00
530,2749.00,1.00
531,2763.00,0.99
532,2768.00,1.00
533,2763.00,1.00
534,2773.00,1.00
535,2765.00,0.99
536,2761.00,0.99
537,2752.00,1.00
538,2750.00,0.99
539,2737.00,1.00
540,2744.00,1.00
541,2756.00,1.00
542,2760.00,0.99
543,2757.00,0.99
544,2744.00,0.99
545,2732.00,1.00
546,2728.00,1.00
547,2722.00,1.00
548,2707.00,0.99
549,2680.00,1.00
550,2677.00,1.00
551,2686.00,0.99
552,2677.00,0.99
553,2679.00,0.99
554,2705.00,1.00
555,2683.00,0.00
556,2683.00,0.00
557,2683.00,0.00
558,2695.00,0.99
559,2673.00,0.99
560,2671.00,0.99
561,2650.00,0.00
562,2650.00,0.00
563,2650.00,0.00
564,2672.00,0.65
565,2650.00,0.00
566,2650.00,0.00
567,2650.00,0.00
568,2650.00,0.00
569,2650.00,0.00
570,2650.00,0.00
571,2654.00,0.66
572,2635.00,0.00
573,2635.00,0.00
574,2635.00,0.00
575,2635.00,0.00
576,2635.00,0.00
577,2652.00,0.65
578,2654.00,0.60
579,2667.00,0.34
580,2684.00,0.62
581,2654.00,0.00
582,2654.00,0.00
583,2668.00,0.64
584,2646.00,0.00
585,2646.00,0.00
586,2661.00,0.65
587,2659.00,0.62
588,2646.00,0.00
589,2670.00,0.65
590,2668.00,0.65
591,2655.00,0.61
592,2663.00,1.00
593,2652.00,0.99
594,2655.00,0.99
595,2644.00,0.00
596,2644.00,0.00
597,2651.00,0.99
598,2657.00,0.99
599,2668.00,1.00
600,2670.00,0.99
601,2678.00,1.00
602,2679.00,0.99
603,2678.00,0.99
604,2686.00,0.99
605,2690.00,1.00
606,2679.00,0.99
607,2677.00,0.99
608,2676.00,0.99
609,2675.00,0.99
610,2696.00,1.00
611,2725.00,0.99
612,2744.00,0.99
613,2740.00,1.00
614,2721.00,0.99
615,2728.00,0.99
616,2721.00,1.00
617,2711.00,1.00
618,2720.00,1.00
619,2709.00,1.00
620,2699.00,0.99
621,2717.00,0.99
622,2727.00,0.99
623,2740.00,0.61
624,2742.00,1.00
625,2742.00,0.99
626,2753.00,1.00
627,2733.00,1.00
628,2725.00,1.00
629,2718.00,1.00
630,2701.00,1.00
631,2704.00,1.00
632,2697.00,1.00
633,2707.00,0.99
634,2710.00,0.99
635,2714.00,0.99
636,2718.00,1.00
637,2715.00,0.99
638,2739.00,1.00
639,2744.00,1.00
640,2744.00,1.00
641,2748.00,1.00
642,2748.00,1.00
643,2751.00,1.00
644,2752.00,0.99
645,2763.00,1.00
646,2775.00,1.00
647,2763.00,1.00
648,2730.00,1.00
649,2723.00,0.98
650,2730.00,0.50
651,2741.00,1.00
652,2750.00,0.99
653,2737.00,1.00
654,2712.00,1.00
655,2707.00,1.00
656,2722.00,1.00
657,2726.00,1.00
658,2718.00,0.99
659,2719.00,1.00
660,2699.00,0.98
661,2707.00,1.00
662,2710.00,0.99
663,2729.00,1.00
664,2726.00,0.99
665,2714.00,0.99
666,2735.00,1.00
667,2733.00,0.99
668,2725.00,1.00
669,2727.00,1.00
670,2744.00,1.00
671,2749.00,1.00
672,2745.00,1.00
673,2756.00,0.99
674,2770.00,1.00
675,2760.00,1.00
676,2768.00,1.00
677,2768.00,1.00
678,2747.00,0.98
679,2745.00,1.00
680,2750.00,0.99
681,2743.00,1.00
682,2759.00,0.98
683,2765.00,1.00
684,2772.00,1.00
685,2774.00,0.99
686,2764.00,1.00
687,2762.00,0.99
688,2721.00,0.00
689,2726.00,0.98
690,2732.00,0.98
691,2745.00,1.00
692,2762.00,0.99
693,2750.00,1.00
694,2754.00,0.99
695,2767.00,1.00
696,2763.00,0.99
697,2762.00,0.99
698,2761.00,1.00
699,2760.00,1.00
700,2764.00,0.99
701,2751.00,1.00
702,2757.00,1.00
703,2761.00,0.98
704,2750.00,0.99
705,2749.00,0.98
706,2745.00,0.98
707,2749.00,1.00
708,2756.00,1.00
709,2752.00,0.99
710,2757.00,1.00
711,2755.00,1.00
712,2756.00,0.99
713,2765.00,0.99
714,2766.00,1.00
715,2749.00,1.00
716,2740.00,1.00
717,2728.00,0.99
718,2732.00,1.00
719,2748.00,0.99
720,2750.00,0.99
721,2736.00,0.99
722,2733.00,1.00
723,2737.00,0.60
724,2740.00,0.99
725,2759.00,1.00
726,2762.00,0.99
727,2763.00,1.00
728,2753.00,0.61
729,2746.00,1.00
730,2746.00,1.00
731,2751.00,1.00
732,2744.00,0.99
733,2755.00,1.00
734,2748.00,0.00
735,2748.00,0.00
736,2748.00,0.00
737,2765.00,1.00
738,2772.00,0.99
739,2768.00,1.00
740,2751.00,0.50
741,2759.00,0.99
742,2755.00,0.99
743,2766.00,0.99
744,2760.00,0.00
745,2776.00,1.00
746,2764.00,1.00
747,2773.00,1.00
748,2777.00,1.00
749,2793.00,0.99
750,2810.00,1.00
751,2801.00,1.00
752,2803.00,1.00
753,2781.00,0.99
754,2786.00,1.00
755,2794.00,0.99
756,2806.00,1.00
757,2803.00,1.00
758,2806.00,0.99
759,2808.00,0.99
760,2814.00,0.50
761,2813.00,0.99
762,2822.00,0.99
763,2825.00,1.00
764,2825.00,0.99
765,2811.00,1.00
766,2786.00,0.99
767,2784.00,0.99
768,2796.00,0.99
769,2794.00,1.00
770,2780.00,0.99
771,2778.00,0.99
772,2776.00,1.00
773,2765.00,0.99
774,2777.00,0.99
775,2795.00,0.99
776,2778.00,0.99
777,2783.00,1.00
778,2754.00,0.99
779,2763.00,0.99
780,2772.00,1.00
781,2783.00,0.61
782,2800.00,1.00
783,2807.00,0.99
784,2830.00,1.00
785,2837.00,1.00
786,2834.00,0.99
787,2845.00,0.99
788,2835.00,1.00
789,2822.00,0.99
790,2816.00,0.99
791,2809.00,0.99
792,2796.00,1.00
793,2800.00,1.00
794,2799.00,1.00
795,2804.00,0.99
796,2806.00,1.00
797,2815.00,0.99
798,2819.00,1.00
799,2836.00,0.99
800,2837.00,1.00
801,2841.00,1.00
802,2854.00,0.99
803,2859.00,0.50
804,2859.00,0.99
805,2853.00,0.99
806,2842.00,0.99
807,2844.00,0.99
808,2846.00,1.00
809,2844.00,1.00
810,2846.00,0.99
811,2837.00,1.00
812,2852.00,1.00
813,2857.00,0.99
814,2859.00,1.00
815,2868.00,0.99
816,2890.00,0.99
817,2874.00,0.99
818,2858.00,1.00
819,2860.00,1.00
820,2847.00,1.00
821,2819.00,1.00
822,2808.00,0.99
823,2822.00,1.00
824,2846.00,1.00
825,2840.00,1.00
826,2841.00,1.00
827,2856.00,0.99
828,2848.00,1.00
829,2838.00,0.99
830,2835.00,1.00
831,2822.00,0.99
832,2818.00,1.00
833,2802.00,1.00
834,2800.00,1.00
835,2798.00,1.00
836,2797.00,1.00
837,2782.00,0.99
838,2774.00,1.00
839,2771.00,1.00
840,2776.00,0.99
841,2779.00,1.00
842,2775.00,1.00
843,2772.00,1.00
844,2773.00,0.99
845,2760.00,1.00
846,2733.00,0.99
847,2730.00,0.99
848,2739.00,1.00
849,2730.00,1.00
850,2726.00,0.99
851,2713.00,1.00
852,2704.00,1.00
853,2692.00,0.50
854,2697.00,1.00
855,2700.00,1.00
856,2694.00,1.00
857,2692.00,1.00
858,2707.00,1.00
859,2692.00,1.00
860,2686.00,1.00
861,2677.00,1.00
862,2666.00,0.50
863,2672.00,1.00
864,2680.00,1.00
865,2692.00,1.00
866,2684.00,0.99
867,2684.00,0.99
868,2684.00,1.00
869,2690.00,1.00
870,2695.00,1.00
871,2692.00,0.99
872,2688.00,0.99
873,2688.00,0.99
874,2705.00,0.99
875,2722.00,0.99
876,2707.00,0.99
877,2700.00,0.99
878,2701.00,0.99
879,2693.00,1.00
880,2666.00,0.99
881,2669.00,0.60
882,2665.00,1.00
883,2662.00,0.99
884,2686.00,0.98
885,2699.00,0.99
886,2707.00,0.49
887,2689.00,0.97
888,2670.00,0.00
889,2670.00,0.00
890,2681.00,0.99
891,2675.00,0.98
892,2672.00,0.96
893,2660.00,0.00
894,2660.00,0.00
895,2660.00,0.00
896,2660.00,0.00
897,2660.00,0.00
898,2660.00,0.00
899,2660.00,0.00
900,2660.00,0.00
901,2672.00,1.00
902,2669.00,0.98
903,2657.00,0.00
904,2657.00,0.00
905,2657.00,0.00
906,2657.00,0.00
907,2657.00,0.00
908,2681.00,0.97
909,2656.00,0.00
910,2656.00,0.00
911,2656.00,0.00
912,2656.00,0.00
913,2656.00,0.00
914,2656.00,0.00
915,2656.00,0.00
916,2678.00,0.97
917,2663.00,0.00
918,2663.00,0.00
919,2663.00,0.00
920,2663.00,0.00
921,2663.00,0.00
922,2679.00,0.95
923,2663.00,0.00
924,2663.00,0.00
925,2663.00,0.00
926,2663.00,0.00
927,2663.00,0.00
928,2663.00,0.00
929,2663.00,0.00
930,2674.00,0.99
931,2665.00,1.00
932,2661.00,1.00
933,2660.00,1.00
934,2657.00,1.00
935,2658.00,1.00
936,2656.00,1.00
937,2657.00,1.00
938,2662.00,1.00
939,2676.00,1.00
940,2681.00,0.99
941,2686.00,1.00
942,2684.00,0.99
943,2685.00,1.00
944,2695.00,1.00
945,2702.00,0.99
946,2695.00,1.00
947,2704.00,1.00
948,2721.00,0.99
949,2739.00,0.99
950,2716.00,0.00
951,2748.00,1.00
952,2742.00,1.00
953,2751.00,1.00
954,2753.00,0.99
955,2767.00,0.99
956,2786.00,0.99
957,2780.00,0.99
958,2778.00,0.99
959,2759.00,1.00
960,2754.00,0.99
961,2772.00,0.99
962,2782.00,0.99
963,2777.00,0.18
964,2795.00,1.00
965,2765.00,0.00
966,2774.00,0.99
967,2767.00,1.00
968,2744.00,0.99
969,2715.00,0.00
970,2731.00,1.00
971,2710.00,0.00
972,2724.00,0.99
973,2698.00,0.00
974,2723.00,0.62
975,2721.00,0.99
976,2730.00,0.98
977,2729.00,1.00
978,2749.00,0.99
979,2768.00,0.99
980,2785.00,0.99
981,2816.00,0.99
982,2834.00,0.99
983,2829.00,1.00
984,2831.00,1.00
985,2836.00,1.00
986,2830.00,0.99
987,2809.00,0.99
988,2800.00,0.99
989,2788.00,1.00
990,2780.00,1.00
991,2788.00,1.00
992,2783.00,0.52
993,2795.00,1.00
994,2794.00,1.00
995,2820.00,1.00
996,2827.00,0.99
997,2820.00,1.00
998,2825.00,0.99
999,2834.00,0.98
1000,2850.00,0.99
1001,2855.00,0.99
1002,2850.00,0.99
1003,2859.00,0.99
1004,2865.00,1.00
1005,2867.00,1.00
1006,2867.00,0.99
1007,2894.00,1.00
1008,2903.00,0.99
1009,2913.00,1.00
1010,2918.00,0.99
1011,2931.00,0.99
1012,2926.00,0.99
1013,2916.00,1.00
1014,2919.00,0.99
1015,2921.00,0.64
1016,2940.00,1.00
1017,2953.00,0.99
1018,2973.00,1.00
1019,2983.00,0.99
1020,3002.00,0.99
1021,3014.00,0.99
1022,3022.00,0.99
1023,3032.00,0.99
1024,3030.00,0.99
1025,3032.00,0.99
1026,3042.00,0.99
1027,3054.00,1.00
1028,3060.00,1.00
1029,3079.00,1.00
1030,3082.00,0.99
1031,3084.00,1.00
1032,3083.00,1.00
1033,3081.00,0.99
1034,3080.00,1.00
1035,3102.00,0.99
1036,3110.00,0.99
1037,3113.00,0.99
1038,3108.00,0.99
1039,3111.00,0.99
1040,3137.00,0.99
1041,3164.00,0.99
1042,3193.00,0.99
1043,3203.00,1.00
1044,3203.00,0.99
1045,3209.00,0.99
1046,3221.00,0.99
1047,3223.00,0.99
1048,3224.00,0.99
1049,3241.00,0.99
1050,3244.00,0.99
1051,3229.00,0.99
1052,3222.00,0.99
1053,3207.00,0.99
1054,3207.00,0.99
1055,3219.00,0.99
1056,3236.00,0.99
1057,3233.00,0.99
1058,3235.00,0.99
1059,3246.00,0.99
1060,3260.00,1.00
1061,3262.00,0.99
1062,3261.00,0.99
1063,3264.00,0.99
1064,3268.00,1.00
1065,3260.00,0.99
1066,3283.00,0.99
1067,3295.00,0.99
1068,3293.00,1.00
1069,3297.00,1.00
1070,3310.00,0.99
1071,3313.00,0.99
1072,3317.00,0.99
1073,3340.00,1.00
1074,3322.00,1.00
1075,3326.00,0.99
1076,3341.00,1.00
1077,3360.00,0.99
1078,3364.00,0.99
1079,3371.00,0.99
1080,3387.00,0.66
1081,3414.00,0.99
1082,3405.00,1.00
1083,3409.00,1.00
1084,3411.00,1.00
1085,3415.00,1.00
1086,3438.00,1.00
1087,3450.00,1.00
1088,3449.00,0.99
1089,3449.00,0.99
1090,3439.00,0.99
1091,3444.00,0.99
1092,3453.00,0.98
1093,3444.00,0.99
1094,3427.00,0.66
1095,3425.00,1.00
1096,3421.00,1.00
1097,3411.00,1.00
1098,3402.00,0.99
1099,3406.00,0.53
1100,3388.00,1.00
1101,3420.00,0.99
1102,3411.00,0.60
1103,3422.00,0.98
1104,3416.00,1.00
1105,3423.00,0.99
1106,3439.00,1.00
1107,3457.00,1.00
1108,3473.00,1.00
1109,3484.00,0.99
1110,3468.00,0.99
1111,3487.00,0.99
1112,3513.00,1.00
1113,3520.00,0.98
1114,3548.00,0.99
1115,3541.00,0.99
1116,3542.00,0.99
1117,3535.00,0.99
1118,3536.00,1.00
1119,3536.00,1.00
1120,3562.00,1.00
1121,3563.00,1.00
1122,3565.00,1.00
1123,3576.00,1.00
1124,3575.00,0.99
1125,3586.00,1.00
1126,3595.00,0.99
1127,3601.00,0.98
1128,3608.00,1.00
1129,3597.00,1.00
1130,3595.00,0.99
1131,3583.00,1.00
1132,3571.00,1.00
1133,3558.00,0.99
1134,3546.00,0.99
1135,3557.00,1.00
1136,3580.00,0.65
1137,3593.00,1.00
1138,3608.00,1.00
1139,3645.00,1.00
1140,3647.00,1.00
1141,3665.00,1.00
1142,3653.00,0.99
1143,3667.00,1.00
1144,3661.00,0.99
1145,3626.00,1.00
1146,3634.00,1.00
1147,3660.00,1.00
1148,3682.00,1.00
1149,3669.00,1.00
1150,3650.00,1.00
1151,3646.00,0.99
1152,3677.00,0.99
1153,3690.00,1.00
1154,3672.00,1.00
1155,3689.00,1.00
1156,3673.00,1.00
1157,3667.00,0.99
1158,3680.00,0.99
1159,3671.00,1.00
1160,3655.00,0.99
1161,3655.00,1.00
1162,3654.00,1.00
1163,3649.00,1.00
1164,3628.00,1.00
1165,3626.00,0.99
1166,3626.00,1.00
1167,3614.00,1.00
1168,3622.00,1.00
1169,3601.00,1.00
1170,3601.00,1.00
1171,3595.00,1.00
1172,3586.00,0.99
1173,3604.00,1.00
1174,3604.00,1.00
1175,3584.00,0.99
1176,3582.00,1.00
1177,3573.00,0.99
1178,3573.00,1.00
1179,3568.00,1.00
1180,3565.00,1.00
1181,3575.00,1.00
1182,3584.00,0.99
1183,3589.00,1.00
1184,3587.00,1.00
1185,3576.00,1.00
1186,3581.00,0.68
1187,3582.00,1.00
1188,3578.00,1.00
1189,3566.00,0.00
1190,3588.00,0.99
1191,3571.00,0.99
1192,3552.00,0.99
1193,3532.00,1.00
1194,3520.00,1.00
1195,3517.00,1.00
1196,3508.00,1.00
1197,3502.00,1.00
1198,3501.00,1.00
1199,3504.00,1.00
1200,3499.00,1.00
1201,3525.00,1.00
1202,3544.00,1.00
1203,3557.00,0.99
1204,3587.00,0.99
1205,3576.00,0.68
1206,3553.00,0.00
1207,3553.00,0.00
1208,3553.00,0.00
1209,3563.00,0.99
1210,3567.00,0.99
1211,3572.00,0.99
1212,3558.00,0.99
1213,3562.00,0.99
1214,3560.00,0.99
1215,3572.00,0.99
1216,3564.00,0.99
1217,3546.00,0.99
1218,3539.00,0.99
1219,3550.00,1.00
1220,3570.00,0.99
1221,3562.00,1.00
1222,3582.00,1.00
1223,3575.00,0.99
1224,3574.00,0.99
1225,3571.00,0.99
1226,3566.00,0.99
1227,3558.00,1.00
1228,3565.00,1.00
1229,3566.00,1.00
1230,3559.00,1.00
1231,3553.00,0.99
1232,3560.00,1.00
1233,3551.00,0.99
1234,3539.00,1.00
1235,3528.00,1.00
1236,3523.00,1.00
1237,3526.00,0.99
1238,3522.00,0.99
1239,3512.00,1.00
1240,3490.00,0.99
1241,3490.00,0.99
1242,3499.00,1.00
1243,3494.00,1.00
1244,3503.00,0.99
1245,3502.00,0.99
1246,3495.00,1.00
1247,3502.00,0.99
1248,3513.00,0.67
1249,3514.00,0.99
1250,3517.00,0.64
1251,3535.00,0.99
1252,3545.00,1.00
1253,3545.00,0.99
1254,3553.00,1.00
1255,3530.00,0.99
1256,3532.00,1.00
1257,3521.00,0.99
1258,3495.00,0.99
1259,3489.00,1.00
1260,3482.00,1.00
1261,3467.00,1.00
1262,3454.00,1.00
1263,3448.00,0.99
