Name,tag,Length,product,locus_tag
hybrid sensor histidine kinase/response regulator CDS,SGL_RS12550,3288,hybrid sensor histidine kinase/response regulator,slr0322
cobN CDS,SGL_RS06070,3279,cobaltochelatase subunit CobN,slr1211
efflux RND transporter permease subunit CDS,SGL_RS12895,3252,efflux RND transporter permease subunit,slr0369
carB CDS,SGL_RS14530,3246,carbamoyl-phosphate synthase large subunit,sll0370
gyrB CDS,SGL_RS07790,3237,DNA topoisomerase (ATP-hydrolyzing) subunit B,sll2005
efflux RND transporter permease subunit CDS,SGL_RS12200,3228,efflux RND transporter permease subunit,sll0142
hypothetical protein CDS,SGL_RS17980,3219,hypothetical protein,sll0446
glycoside hydrolase family 9 protein CDS,SGL_RS14770,3213,glycoside hydrolase family 9 protein,slr0897
ATP-binding protein CDS,SGL_RS08320,3195,ATP-binding protein,slr1243
efflux RND transporter permease subunit CDS,SGL_RS09605,3186,efflux RND transporter permease subunit,slr2131
CusA/CzcA family heavy metal efflux RND transporter CDS,SGL_RS16065,3165,CusA/CzcA family heavy metal efflux RND transporter,slr0794
alpha-mannosidase CDS,SGL_RS12555,3129,alpha-mannosidase,slr0323
DEAD/DEAH box helicase CDS,SGL_RS17180,3120,DEAD/DEAH box helicase,sll1366
ppc CDS,SGL_RS11290,3105,phosphoenolpyruvate carboxylase,sll0920
UPF0182 family protein CDS,SGL_RS02175,3099,UPF0182 family protein,sll1060
DUF3854 domain-containing protein CDS,SGL_RS16945,3072,DUF3854 domain-containing protein,slr0554
response regulator CDS,SGL_RS08635,3045,response regulator,sll1905
FkbM family methyltransferase CDS,SGL_RS14830,3045,FkbM family methyltransferase,slr0907
peptidase domain-containing ABC transporter CDS,SGL_RS10630,3036,peptidase domain-containing ABC transporter,sll1180
sbcC CDS,SGL_RS04230,3021,exonuclease subunit SbcC,slr1048
RNA helicase CDS,SGL_RS18000,3021,RNA helicase,slr0451
infB CDS,SGL_RS02480,3006,translation initiation factor IF-2,slr0744
methyl-accepting chemotaxis protein CDS,SGL_RS16485,3003,methyl-accepting chemotaxis protein,sll0041
ATP-binding protein CDS,SGL_RS06945,2997,ATP-binding protein,sll1353
glycosyltransferase CDS,SGL_RS11600,2991,glycosyltransferase,sll1528
pruA CDS,SGL_RS11170,2973,L-glutamate gamma-semialdehyde dehydrogenase,sll1561
CHAT domain-containing protein CDS,SGL_RS16745,2973,CHAT domain-containing protein,sll0499
ileS CDS,SGL_RS06865,2967,isoleucine--tRNA ligase,sll1362
polA CDS,SGL_RS16290,2961,DNA polymerase I,slr0707
gcvP CDS,SGL_RS11955,2952,aminomethyl-transferring glycine dehydrogenase,slr0293
uvrA CDS,SGL_RS06380,2913,excinuclease ABC subunit UvrA,slr1844
cation-transporting P-type ATPase CDS,SGL_RS05605,2889,cation-transporting P-type ATPase,sll1076
HAMP domain-containing methyl-accepting chemotaxis protein CDS,SGL_RS05080,2862,HAMP domain-containing methyl-accepting chemotaxis protein,sll1294
cation-transporting P-type ATPase CDS,SGL_RS09955,2862,cation-transporting P-type ATPase,slr0822
GAF domain-containing protein CDS,SGL_RS05135,2853,GAF domain-containing protein,slr1393
ATP-binding protein CDS,SGL_RS09220,2853,ATP-binding protein,slr2104
cation-transporting P-type ATPase CDS,SGL_RS16270,2838,cation-transporting P-type ATPase,sll0672
diguanylate cyclase CDS,SGL_RS07990,2829,diguanylate cyclase,sll1687
A-adding tRNA nucleotidyltransferase CDS,SGL_RS10075,2829,A-adding tRNA nucleotidyltransferase,sll1253
CHAT domain-containing protein CDS,SGL_RS10260,2799,CHAT domain-containing protein,slr1968
secA CDS,SGL_RS14240,2799,preprotein translocase subunit SecA,sll0616
hybrid sensor histidine kinase/response regulator CDS,SGL_RS05075,2775,hybrid sensor histidine kinase/response regulator,sll1296
DNA topoisomerase (ATP-hydrolyzing) subunit A CDS,SGL_RS04580,2763,DNA topoisomerase (ATP-hydrolyzing) subunit A,sll1941
ParA family protein CDS,SGL_RS11160,2763,ParA family protein,sll1563
valS CDS,SGL_RS16980,2733,valine--tRNA ligase,slr0557
cation-transporting P-type ATPase CDS,SGL_RS08700,2718,cation-transporting P-type ATPase,sll1614
chloride channel protein CDS,SGL_RS12280,2700,chloride channel protein,sll1864
topA CDS,SGL_RS08530,2697,type I DNA topoisomerase,slr2058
clpB CDS,SGL_RS12190,2697,ATP-dependent chaperone ClpB,slr0156
trans-splicing intein-formed DNA polymerase III subunit alpha N-terminal partner DnaE-N CDS,SGL_RS18345,2694,trans-splicing intein-formed DNA polymerase III subunit alpha N-terminal partner DnaE-N,slr0603
phycobilisome rod-core linker polypeptide CDS,SGL_RS12650,2691,phycobilisome rod-core linker polypeptide,slr0335
fimbria/pilus outer membrane usher protein CDS,SGL_RS13475,2679,fimbria/pilus outer membrane usher protein,slr0019
efflux RND transporter permease subunit CDS,SGL_RS18035,2673,efflux RND transporter permease subunit,slr0454
gghA CDS,SGL_RS11090,2658,glucosylglycerol hydrolase,slr1670
transglycosylase domain-containing protein CDS,SGL_RS13510,2658,transglycosylase domain-containing protein,sll0002
PAS domain S-box protein CDS,SGL_RS16175,2655,PAS domain S-box protein,sll0779
mutS CDS,SGL_RS08315,2637,DNA mismatch repair protein MutS,sll1165
alaS CDS,SGL_RS11990,2634,alanine--tRNA ligase,sll0362
cphA CDS,SGL_RS08660,2622,cyanophycin synthetase,slr2002
clpB CDS,SGL_RS11615,2619,ATP-dependent chaperone ClpB,slr1641
replicative DNA helicase CDS,SGL_RS15120,2619,replicative DNA helicase,slr0833
methyl-accepting chemotaxis protein CDS,SGL_RS04210,2610,methyl-accepting chemotaxis protein,slr1044
leuS CDS,SGL_RS05615,2610,leucine--tRNA ligase,sll1074
M1 family metallopeptidase CDS,SGL_RS17040,2610,M1 family metallopeptidase,sll1343
acnB CDS,SGL_RS17360,2607,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,slr0665
TIGR03960 family B12-binding radical SAM protein CDS,SGL_RS05535,2589,TIGR03960 family B12-binding radical SAM protein,sll1084
IAP75 family chloroplast envelope protein translocase CDS,SGL_RS06695,2586,IAP75 family chloroplast envelope protein translocase,slr1227
O-antigen ligase family protein CDS,SGL_RS16440,2586,O-antigen ligase family protein,sll0737
gyrA CDS,SGL_RS14415,2583,DNA topoisomerase (ATP-hydrolyzing) subunit A,slr0417
TonB-dependent siderophore receptor CDS,SGL_RS01975,2574,TonB-dependent siderophore receptor,sll1409
EAL domain-containing protein CDS,SGL_RS02810,2553,EAL domain-containing protein,slr1102
glycogen/starch/alpha-glucan phosphorylase CDS,SGL_RS06895,2550,glycogen/starch/alpha-glucan phosphorylase,sll1356
PAS domain S-box protein CDS,SGL_RS15095,2550,PAS domain S-box protein,slr0829
TonB-dependent receptor CDS,SGL_RS02025,2547,TonB-dependent receptor,slr1490
TonB-dependent receptor CDS,SGL_RS01950,2541,TonB-dependent receptor,sll1206
PAS domain S-box protein CDS,SGL_RS06075,2535,PAS domain S-box protein,slr1212
glycogen/starch/alpha-glucan phosphorylase CDS,SGL_RS07100,2532,glycogen/starch/alpha-glucan phosphorylase,slr1367
mannose-1-phosphate guanyltransferase CDS,SGL_RS17400,2532,mannose-1-phosphate guanyltransferase,sll1496
EAL domain-containing protein CDS,SGL_RS03320,2523,EAL domain-containing protein,slr1305
hypothetical protein CDS,SGL_RS10315,2523,hypothetical protein,sll1885
transglycosylase SLT domain-containing protein CDS,SGL_RS16665,2520,transglycosylase SLT domain-containing protein,slr0534
sigma 54-interacting transcriptional regulator CDS,SGL_RS10820,2508,sigma 54-interacting transcriptional regulator,slr1529
MASE1 domain-containing protein CDS,SGL_RS03040,2505,MASE1 domain-containing protein,sll1672
CPBP family glutamic-type intramembrane protease CDS,SGL_RS17565,2499,CPBP family glutamic-type intramembrane protease,sll1477
priA CDS,SGL_RS11845,2496,primosomal protein N',sll0270
recG CDS,SGL_RS13500,2496,ATP-dependent DNA helicase RecG,slr0020
TonB-dependent siderophore receptor CDS,SGL_RS01990,2487,TonB-dependent siderophore receptor,sll1406
hypothetical protein CDS,SGL_RS10205,2484,hypothetical protein,slr1959
hypothetical protein CDS,SGL_RS06560,2481,hypothetical protein,slr1552
phospholipid carrier-dependent glycosyltransferase CDS,SGL_RS04505,2478,phospholipid carrier-dependent glycosyltransferase,sll1946
endonuclease MutS2 CDS,SGL_RS07540,2469,endonuclease MutS2,sll1772
ATP-dependent Clp protease ATP-binding subunit CDS,SGL_RS13375,2466,ATP-dependent Clp protease ATP-binding subunit,sll0020
ppsA CDS,SGL_RS15890,2457,"pyruvate, water dikinase",slr0301
GH116 family glycosyl hydrolase CDS,SGL_RS07495,2454,GH116 family glycosyl hydrolase,sll1775
GspE/PulE family protein CDS,SGL_RS15295,2442,GspE/PulE family protein,slr0079
dynamin-like GTPase family protein CDS,SGL_RS08290,2439,dynamin-like GTPase family protein,slr0869
HD family phosphohydrolase CDS,SGL_RS15710,2436,HD family phosphohydrolase,slr0104
pheT CDS,SGL_RS11275,2433,phenylalanine--tRNA ligase subunit beta,sll1553
ATP-binding protein CDS,SGL_RS15510,2421,ATP-binding protein,sll0474
phosphoketolase family protein CDS,SGL_RS18020,2418,phosphoketolase family protein,slr0453
DUF3769 domain-containing protein CDS,SGL_RS12875,2412,DUF3769 domain-containing protein,sll0350
pcrA CDS,SGL_RS06660,2382,DNA helicase PcrA,sll1143
ATP-binding cassette domain-containing protein CDS,SGL_RS16180,2367,ATP-binding cassette domain-containing protein,sll0778
ribonuclease R CDS,SGL_RS05500,2346,ribonuclease R,sll1910
type IV pilus secretin PilQ CDS,SGL_RS10700,2343,type IV pilus secretin PilQ,slr1277
cation-translocating P-type ATPase CDS,SGL_RS12475,2343,cation-translocating P-type ATPase,slr1950
purL CDS,SGL_RS02220,2334,phosphoribosylformylglycinamidine synthase subunit PurL,sll1056
hypothetical protein CDS,SGL_RS05420,2319,hypothetical protein,slr2018
dnaK CDS,SGL_RS04685,2316,molecular chaperone DnaK,sll1932
ATP-dependent helicase CDS,SGL_RS05955,2313,ATP-dependent helicase,sll1121
DUF3488 and DUF4129 domain-containing transglutaminase family protein CDS,SGL_RS08735,2313,DUF3488 and DUF4129 domain-containing transglutaminase family protein,sll1608
glgB CDS,SGL_RS12820,2313,"1,4-alpha-glucan branching enzyme",sll0158
nitric-oxide reductase large subunit CDS,SGL_RS17955,2313,nitric-oxide reductase large subunit,sll0450
diguanylate cyclase CDS,SGL_RS15895,2307,diguanylate cyclase,slr0302
ribonucleoside-diphosphate reductase subunit alpha CDS,SGL_RS10995,2304,ribonucleoside-diphosphate reductase subunit alpha,slr1164
hypF CDS,SGL_RS13225,2304,carbamoyltransferase HypF,sll0322
hypothetical protein CDS,SGL_RS17460,2298,hypothetical protein,slr1567
mechanosensitive ion channel family protein CDS,SGL_RS02750,2292,mechanosensitive ion channel family protein,sll1040
RelA/SpoT family protein CDS,SGL_RS09660,2283,RelA/SpoT family protein,slr1325
recJ CDS,SGL_RS06940,2280,single-stranded-DNA-specific exonuclease RecJ,sll1354
PAS domain S-box protein CDS,SGL_RS15960,2280,PAS domain S-box protein,slr0311
exopolysaccharide transport family protein CDS,SGL_RS03505,2271,exopolysaccharide transport family protein,sll0923
adenylate/guanylate cyclase domain-containing protein CDS,SGL_RS03900,2271,adenylate/guanylate cyclase domain-containing protein,sll0646
FUSC family protein CDS,SGL_RS03260,2268,FUSC family protein,slr1298
psaA CDS,SGL_RS06305,2256,photosystem I core protein PsaA,slr1834
ATP-binding protein CDS,SGL_RS10275,2253,ATP-binding protein,slr1969
PBP1A family penicillin-binding protein CDS,SGL_RS05320,2250,PBP1A family penicillin-binding protein,slr1710
ATP-binding protein CDS,SGL_RS14030,2247,ATP-binding protein,slr0473
glgX CDS,SGL_RS02490,2241,glycogen debranching protein GlgX,slr0237
heavy metal translocating P-type ATPase CDS,SGL_RS05435,2238,heavy metal translocating P-type ATPase,sll1920
MASE1 domain-containing protein CDS,SGL_RS07855,2217,MASE1 domain-containing protein,slr1805
caspase family protein CDS,SGL_RS12155,2208,caspase family protein,sll0148
EAL domain-containing protein CDS,SGL_RS06175,2199,EAL domain-containing protein,slr2077
psaB CDS,SGL_RS06310,2196,photosystem I core protein PsaB,slr1835
phosphoketolase CDS,SGL_RS16950,2196,phosphoketolase,sll0529
katG CDS,SGL_RS09095,2190,catalase/peroxidase HPI,sll1987
hypothetical protein CDS,SGL_RS12655,2190,hypothetical protein,slr0337
ppk1 CDS,SGL_RS15845,2187,polyphosphate kinase 1,sll0290
hypothetical protein CDS,SGL_RS02320,2181,hypothetical protein,sll0710
glutamine synthetase III CDS,SGL_RS11925,2175,glutamine synthetase III,slr0288
glyS CDS,SGL_RS13565,2169,glycine--tRNA ligase subunit beta,slr0220
heavy metal translocating P-type ATPase CDS,SGL_RS16100,2166,heavy metal translocating P-type ATPase,slr0798
HAD-IIB family hydrolase CDS,SGL_RS16460,2163,HAD-IIB family hydrolase,sll0045
polyribonucleotide nucleotidyltransferase CDS,SGL_RS02295,2157,polyribonucleotide nucleotidyltransferase,sll1043
hypothetical protein CDS,SGL_RS07930,2154,hypothetical protein,slr1816
peptidase domain-containing ABC transporter CDS,SGL_RS17795,2151,peptidase domain-containing ABC transporter,slr1651
KAP family NTPase CDS,SGL_RS05530,2148,KAP family NTPase,slr1135
nitrate reductase CDS,SGL_RS06575,2145,nitrate reductase,sll1454
IMS domain-containing protein CDS,SGL_RS12755,2145,IMS domain-containing protein,sll0169
ComEC/Rec2 family competence protein CDS,SGL_RS04705,2130,ComEC/Rec2 family competence protein,sll1929
glgX CDS,SGL_RS07435,2124,glycogen debranching protein GlgX,slr1857
EAL domain-containing protein CDS,SGL_RS02815,2121,EAL domain-containing protein,slr1103
TIGR00300 family protein CDS,SGL_RS17085,2118,TIGR00300 family protein,sll1336
penicillin acylase family protein CDS,SGL_RS12940,2115,penicillin acylase family protein,slr0378
hypothetical protein CDS,SGL_RS09025,2097,hypothetical protein,sll0242
pta CDS,SGL_RS07720,2094,phosphate acetyltransferase,slr2132
EAL domain-containing protein CDS,SGL_RS10225,2091,EAL domain-containing protein,sll1895
fusB CDS,SGL_RS17200,2088,elongation factor G variant FusB,slr1463
speA CDS,SGL_RS17330,2088,biosynthetic arginine decarboxylase,slr0662
M3 family metallopeptidase CDS,SGL_RS17300,2085,M3 family metallopeptidase,slr0659
hypothetical protein CDS,SGL_RS04020,2082,hypothetical protein,sll1516
dnaK CDS,SGL_RS13940,2079,molecular chaperone DnaK,sll0058
fusA CDS,SGL_RS10930,2076,elongation factor G,sll1098
protein phosphatase 2C domain-containing protein CDS,SGL_RS14340,2076,protein phosphatase 2C domain-containing protein,sll0602
kdpB CDS,SGL_RS08870,2073,potassium-transporting ATPase subunit KdpB,slr1729
glycosyltransferase CDS,SGL_RS03620,2070,glycosyltransferase,slr1063
FAD-dependent oxidoreductase CDS,SGL_RS15545,2055,FAD-dependent oxidoreductase,sll0471
AarF/ABC1/UbiB kinase family protein CDS,SGL_RS13495,2046,AarF/ABC1/UbiB kinase family protein,sll0005
NAD(P)H-quinone oxidoreductase subunit 5 CDS,SGL_RS15190,2046,NAD(P)H-quinone oxidoreductase subunit 5,slr0844
mechanosensitive ion channel family protein CDS,SGL_RS04955,2043,mechanosensitive ion channel family protein,sll0985
c-type cytochrome CDS,SGL_RS06885,2037,c-type cytochrome,sll1359
cation:proton antiporter CDS,SGL_RS14400,2034,cation:proton antiporter,slr0415
bchD CDS,SGL_RS02940,2031,magnesium chelatase ATPase subunit D,slr1777
DICT sensory domain-containing protein CDS,SGL_RS14080,2028,DICT sensory domain-containing protein,slr0484
Rne/Rng family ribonuclease CDS,SGL_RS02280,2025,Rne/Rng family ribonuclease,slr1129
ATP-binding protein CDS,SGL_RS10405,2025,ATP-binding protein,sll1871
flotillin family protein CDS,SGL_RS03780,2022,flotillin family protein,sll1021
ATP-dependent endonuclease CDS,SGL_RS04280,2019,ATP-dependent endonuclease,slr1056
GspE/PulE family protein CDS,SGL_RS13950,2019,GspE/PulE family protein,slr0063
tkt CDS,SGL_RS05660,2013,transketolase,sll1070
nitrate ABC transporter ATP-binding protein CDS,SGL_RS06585,2013,nitrate ABC transporter ATP-binding protein,sll1452
NAD-binding protein CDS,SGL_RS17885,2013,NAD-binding protein,slr1664
ligA CDS,SGL_RS01920,2010,NAD-dependent DNA ligase LigA,sll1209
ribulose bisphosphate carboxylase small subunit CDS,SGL_RS02875,2010,ribulose bisphosphate carboxylase small subunit,sll1031
M48 family metalloprotease CDS,SGL_RS12410,2010,M48 family metalloprotease,slr1939
uvrB CDS,SGL_RS14040,2010,excinuclease ABC subunit UvrB,sll0459
elongation factor G CDS,SGL_RS15140,2010,elongation factor G,sll0830
serine/threonine phosphatase CDS,SGL_RS02865,2007,serine/threonine phosphatase,sll1033
hypothetical protein CDS,SGL_RS12160,2007,hypothetical protein,sll0147
nitrate ABC transporter ATP-binding protein CDS,SGL_RS16580,2004,nitrate ABC transporter ATP-binding protein,slr0043
ribonuclease R CDS,SGL_RS05100,2001,ribonuclease R,sll1290
ftsH1 CDS,SGL_RS05110,1998,ATP-dependent zinc metalloprotease FtsH1,slr1390
ATP-binding protein CDS,SGL_RS02430,1992,ATP-binding protein,sll0698
PAS domain S-box protein CDS,SGL_RS04300,1986,PAS domain S-box protein,sll1003
ABC transporter ATP-binding protein/permease CDS,SGL_RS14635,1986,ABC transporter ATP-binding protein/permease,sll0182
speA CDS,SGL_RS01915,1980,biosynthetic arginine decarboxylase,slr1312
response regulator CDS,SGL_RS09700,1980,response regulator,sll1228
htpG CDS,SGL_RS18085,1977,molecular chaperone HtpG,sll0430
bifunctional aldolase/short-chain dehydrogenase CDS,SGL_RS06055,1974,bifunctional aldolase/short-chain dehydrogenase,slr1208
acs CDS,SGL_RS15030,1962,acetate--CoA ligase,sll0542
ABC transporter ATP-binding protein CDS,SGL_RS05330,1953,ABC transporter ATP-binding protein,sll1927
FAD-dependent oxidoreductase CDS,SGL_RS08895,1953,FAD-dependent oxidoreductase,sll0254
penicillin-binding protein 1A CDS,SGL_RS10870,1953,penicillin-binding protein 1A,sll1434
ShlB/FhaC/HecB family hemolysin secretion/activation protein CDS,SGL_RS17875,1953,ShlB/FhaC/HecB family hemolysin secretion/activation protein,slr1661
N-acetylmuramoyl-L-alanine amidase CDS,SGL_RS08120,1950,N-acetylmuramoyl-L-alanine amidase,slr1744
shc CDS,SGL_RS09110,1944,squalene--hopene cyclase,slr2089
DUF4114 domain-containing protein CDS,SGL_RS12680,1932,DUF4114 domain-containing protein,slr0168
heavy metal translocating P-type ATPase CDS,SGL_RS16085,1929,heavy metal translocating P-type ATPase,slr0797
GTPase family protein CDS,SGL_RS17090,1926,GTPase family protein,slr1428
dxs CDS,SGL_RS04515,1923,1-deoxy-D-xylulose-5-phosphate synthase,sll1945
ribonuclease J CDS,SGL_RS16930,1923,ribonuclease J,slr0551
hypothetical protein CDS,SGL_RS03170,1914,hypothetical protein,slr1799
S9 family peptidase CDS,SGL_RS15075,1914,S9 family peptidase,slr0825
AMP-binding protein CDS,SGL_RS04190,1911,AMP-binding protein,slr1609
ABC-F family ATP-binding cassette domain-containing protein CDS,SGL_RS11385,1911,ABC-F family ATP-binding cassette domain-containing protein,sll0912
dnaK CDS,SGL_RS12750,1911,molecular chaperone DnaK,sll0170
sir CDS,SGL_RS03380,1908,"sulfite reductase, ferredoxin dependent",slr0963
dnaG CDS,SGL_RS10435,1908,DNA primase,sll1868
mnmG CDS,SGL_RS13590,1908,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,sll0202
SpoIIE family protein phosphatase CDS,SGL_RS07445,1905,SpoIIE family protein phosphatase,slr1860
NAD(P)H-quinone oxidoreductase subunit F CDS,SGL_RS16595,1905,NAD(P)H-quinone oxidoreductase subunit F,sll0026
PP2C family protein-serine/threonine phosphatase CDS,SGL_RS17190,1902,PP2C family protein-serine/threonine phosphatase,sll1365
glmS CDS,SGL_RS02630,1896,glutamine--fructose-6-phosphate transaminase (isomerizing),sll0220
ABC transporter substrate-binding protein CDS,SGL_RS07890,1896,ABC transporter substrate-binding protein,sll1699
cation:proton antiporter CDS,SGL_RS14920,1896,cation:proton antiporter,sll0556
iron uptake porin CDS,SGL_RS06365,1893,iron uptake porin,slr1841
GNAT family N-acetyltransferase CDS,SGL_RS07715,1893,GNAT family N-acetyltransferase,slr1888
ftsH4 CDS,SGL_RS06515,1887,ATP-dependent zinc metalloprotease FtsH4,sll1463
cobJ CDS,SGL_RS03425,1884,precorrin-3B C(17)-methyltransferase,slr0969
hypothetical protein CDS,SGL_RS12340,1884,hypothetical protein,sll1858
ftsH2 CDS,SGL_RS13625,1884,ATP-dependent zinc metalloprotease FtsH2,slr0228
uvrC CDS,SGL_RS07280,1881,excinuclease ABC subunit UvrC,sll0865
rpoC1 CDS,SGL_RS10640,1881,DNA-directed RNA polymerase subunit gamma,slr1265
alpha/beta hydrolase CDS,SGL_RS09295,1869,alpha/beta hydrolase,slr1506
ilvB CDS,SGL_RS09105,1866,biosynthetic-type acetolactate synthase large subunit,slr2088
serine/threonine-protein kinase CDS,SGL_RS12145,1863,serine/threonine-protein kinase,slr0152
mechanosensitive ion channel family protein CDS,SGL_RS16395,1854,mechanosensitive ion channel family protein,slr0765
ftsH3 CDS,SGL_RS04115,1851,ATP-dependent zinc metalloprotease FtsH3,slr1604
NAD(P)H-quinone oxidoreductase subunit F CDS,SGL_RS06295,1848,NAD(P)H-quinone oxidoreductase subunit F,sll1732
carbamoyltransferase CDS,SGL_RS10645,1848,carbamoyltransferase,sll1178
modB CDS,SGL_RS16430,1848,molybdate ABC transporter permease subunit,sll0739
feoB CDS,SGL_RS05125,1845,ferrous iron transport protein B,slr1392
serine/threonine protein kinase CDS,SGL_RS06920,1845,serine/threonine protein kinase,slr1443
ABC transporter ATP-binding protein CDS,SGL_RS02045,1842,ABC transporter ATP-binding protein,slr1494
EAL domain-containing protein CDS,SGL_RS02820,1842,EAL domain-containing protein,slr1104
DUF5942 domain-containing protein CDS,SGL_RS16670,1842,DUF5942 domain-containing protein,slr0535
SLC13 family permease CDS,SGL_RS03935,1839,SLC13 family permease,sll0640
hypothetical protein CDS,SGL_RS11695,1836,hypothetical protein,slr0442
ABC transporter ATP-binding protein CDS,SGL_RS06320,1833,ABC transporter ATP-binding protein,sll1725
sppA CDS,SGL_RS07865,1833,signal peptide peptidase SppA,sll1703
hypothetical protein CDS,SGL_RS11590,1827,hypothetical protein,sll1531
penicillin-binding protein 2 CDS,SGL_RS04790,1824,penicillin-binding protein 2,sll1833
AGE family epimerase/isomerase CDS,SGL_RS07425,1824,AGE family epimerase/isomerase,slr1855
DUF389 domain-containing protein CDS,SGL_RS08420,1818,DUF389 domain-containing protein,sll1151
proS CDS,SGL_RS09270,1812,proline--tRNA ligase,sll1425
SpoIIE family protein phosphatase CDS,SGL_RS10415,1812,SpoIIE family protein phosphatase,slr1983
thrS CDS,SGL_RS15335,1812,threonine--tRNA ligase,sll0078
lepA CDS,SGL_RS18350,1812,translation elongation factor 4,slr0604
phosphodiester glycosidase family protein CDS,SGL_RS11840,1809,phosphodiester glycosidase family protein,slr0280
ABC transporter ATP-binding protein CDS,SGL_RS05640,1806,ABC transporter ATP-binding protein,slr1149
aspartate kinase CDS,SGL_RS17290,1803,aspartate kinase,slr0657
FAD-dependent oxidoreductase CDS,SGL_RS05480,1800,FAD-dependent oxidoreductase,sll1913
aspS CDS,SGL_RS08775,1800,aspartate--tRNA ligase,slr1720
hypothetical protein CDS,SGL_RS14850,1797,hypothetical protein,slr0914
typA CDS,SGL_RS02825,1794,translational GTPase TypA,slr1105
diflavin flavoprotein CDS,SGL_RS11685,1794,diflavin flavoprotein,sll1521
GldG family protein CDS,SGL_RS09230,1788,GldG family protein,slr2105
menD CDS,SGL_RS14335,1788,2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylic-acid synthase,sll0603
diflavin flavoprotein CDS,SGL_RS02635,1785,diflavin flavoprotein,sll0219
ABC transporter ATP-binding protein CDS,SGL_RS02015,1782,ABC transporter ATP-binding protein,slr1488
ABC transporter ATP-binding protein CDS,SGL_RS05425,1782,ABC transporter ATP-binding protein,slr2019
