,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
125:39:25,68,1.133333333,0.807,0.575,0.703
125:39:26,69,1.15,0.807,0.576,0.705
125:39:27,70,1.166666667,0.807,0.575,0.706
125:39:28,71,1.183333333,0.807,0.575,0.706
125:39:29,72,1.2,0.806,0.575,0.705
125:39:30,73,1.216666667,0.808,0.576,0.706
125:39:31,74,1.233333333,0.805,0.575,0.705
125:39:32,75,1.25,0.807,0.576,0.706
125:39:33,76,1.266666667,0.806,0.575,0.706
125:39:34,77,1.283333333,0.805,0.575,0.708
125:39:35,78,1.3,0.806,0.575,0.708
125:39:36,79,1.316666667,0.806,0.576,0.709
125:39:37,80,1.333333333,0.805,0.575,0.709
125:39:38,81,1.35,0.807,0.576,0.71
125:39:39,82,1.366666667,0.806,0.576,0.709
125:39:40,83,1.383333333,0.806,0.576,0.71
125:39:41,84,1.4,0.807,0.575,0.709
125:39:42,85,1.416666667,0.806,0.575,0.709
125:39:43,86,1.433333333,0.807,0.575,0.71
125:39:44,87,1.45,0.806,0.575,0.709
125:39:45,88,1.466666667,0.806,0.575,0.71
125:39:46,89,1.483333333,0.807,0.575,0.709
125:39:47,90,1.5,0.806,0.575,0.708
125:39:48,91,1.516666667,0.805,0.575,0.708
125:39:49,92,1.533333333,0.807,0.575,0.709
125:39:50,93,1.55,0.805,0.574,0.709
125:39:51,94,1.566666667,0.807,0.574,0.711
125:39:52,95,1.583333333,0.806,0.574,0.71
125:39:53,96,1.6,0.806,0.574,0.711
125:39:54,97,1.616666667,0.806,0.574,0.71
125:39:55,98,1.633333333,0.806,0.574,0.711
125:39:56,99,1.65,0.806,0.574,0.71
125:39:57,100,1.666666667,0.807,0.574,0.71
125:39:58,101,1.683333333,0.805,0.574,0.71
125:39:59,102,1.7,0.805,0.574,0.71
125:40:00,103,1.716666667,0.805,0.574,0.709
125:40:01,104,1.733333333,0.804,0.574,0.708
125:40:02,105,1.75,0.806,0.574,0.708
125:40:03,106,1.766666667,0.805,0.573,0.708
125:40:04,107,1.783333333,0.806,0.574,0.71
125:40:05,108,1.8,0.806,0.574,0.709
125:40:06,109,1.816666667,0.805,0.574,0.711
125:40:07,110,1.833333333,0.805,0.573,0.71
125:40:08,111,1.85,0.805,0.574,0.711
125:40:09,112,1.866666667,0.804,0.573,0.711
125:40:10,113,1.883333333,0.806,0.573,0.71
125:40:11,114,1.9,0.804,0.573,0.709
125:40:12,115,1.916666667,0.805,0.573,0.709
125:40:13,116,1.933333333,0.805,0.573,0.708
125:40:14,117,1.95,0.804,0.573,0.709
125:40:15,118,1.966666667,0.806,0.573,0.71
125:40:16,119,1.983333333,0.805,0.573,0.71
125:40:17,120,2,0.805,0.573,0.711
125:40:18,121,2.016666667,0.806,0.573,0.71
125:40:19,122,2.033333333,0.805,0.573,0.71
125:40:20,123,2.05,0.804,0.573,0.71
125:40:21,124,2.066666667,0.806,0.573,0.711
125:40:22,125,2.083333333,0.804,0.573,0.711
125:40:23,126,2.1,0.807,0.573,0.711
125:40:24,127,2.116666667,0.805,0.573,0.71
125:40:25,128,2.133333333,0.805,0.573,0.711
125:40:26,129,2.15,0.805,0.573,0.71
125:40:27,130,2.166666667,0.804,0.573,0.711
125:40:28,131,2.183333333,0.804,0.573,0.71
125:40:29,132,2.2,0.805,0.573,0.711
125:40:30,133,2.216666667,0.804,0.573,0.711
125:40:31,134,2.233333333,0.805,0.573,0.711
125:40:32,135,2.25,0.805,0.573,0.71
125:40:33,136,2.266666667,0.804,0.573,0.709
125:40:34,137,2.283333333,0.805,0.573,0.708
125:40:35,138,2.3,0.804,0.572,0.705
125:40:36,139,2.316666667,0.804,0.572,0.701
125:40:37,140,2.333333333,0.804,0.572,0.7
125:40:38,141,2.35,0.804,0.572,0.704
125:40:39,142,2.366666667,0.804,0.572,0.705
125:40:40,143,2.383333333,0.805,0.572,0.707
125:40:41,144,2.4,0.803,0.572,0.708
125:40:42,145,2.416666667,0.806,0.572,0.708
125:40:43,146,2.433333333,0.804,0.572,0.707
125:40:44,147,2.45,0.804,0.572,0.708
125:40:45,148,2.466666667,0.805,0.571,0.707
125:40:46,149,2.483333333,0.804,0.572,0.706
125:40:47,150,2.5,0.803,0.572,0.706
125:40:48,151,2.516666667,0.805,0.572,0.707
125:40:49,152,2.533333333,0.803,0.572,0.708
125:40:50,153,2.55,0.804,0.572,0.709
125:40:51,154,2.566666667,0.805,0.572,0.709
125:40:52,155,2.583333333,0.803,0.572,0.709
125:40:53,156,2.6,0.804,0.572,0.708
125:40:54,157,2.616666667,0.804,0.572,0.707
125:40:55,158,2.633333333,0.803,0.571,0.709
125:40:56,159,2.65,0.803,0.571,0.708
125:40:57,160,2.666666667,0.803,0.571,0.709
125:40:58,161,2.683333333,0.802,0.57,0.709
125:40:59,162,2.7,0.804,0.57,0.71
125:41:00,163,2.716666667,0.803,0.569,0.708
125:41:01,164,2.733333333,0.803,0.569,0.71
125:41:02,165,2.75,0.803,0.569,0.709
125:41:03,166,2.766666667,0.802,0.569,0.709
125:41:04,167,2.783333333,0.801,0.569,0.709
125:41:05,168,2.8,0.804,0.569,0.709
125:41:06,169,2.816666667,0.802,0.569,0.708
125:41:07,170,2.833333333,0.803,0.569,0.707
125:41:08,171,2.85,0.803,0.569,0.705
125:41:09,172,2.866666667,0.802,0.568,0.706
125:41:10,173,2.883333333,0.803,0.569,0.707
125:41:11,174,2.9,0.802,0.568,0.707
125:41:12,175,2.916666667,0.801,0.568,0.708
125:41:13,176,2.933333333,0.802,0.568,0.708
125:41:14,177,2.95,0.802,0.568,0.708
125:41:15,178,2.966666667,0.801,0.568,0.707
125:41:16,179,2.983333333,0.803,0.568,0.707
125:41:17,180,3,0.801,0.568,0.705
125:41:18,181,3.016666667,0.802,0.568,0.707
125:41:19,182,3.033333333,0.802,0.568,0.706
125:41:20,183,3.05,0.802,0.568,0.707
125:41:21,184,3.066666667,0.801,0.568,0.708
125:41:22,185,3.083333333,0.803,0.568,0.708
125:41:23,186,3.1,0.801,0.568,0.707
125:41:24,187,3.116666667,0.802,0.568,0.708
125:41:25,188,3.133333333,0.802,0.568,0.707
125:41:26,189,3.15,0.801,0.568,0.708
125:41:27,190,3.166666667,0.802,0.568,0.708
125:41:28,191,3.183333333,0.803,0.568,0.708
125:41:29,192,3.2,0.802,0.567,0.708
125:41:30,193,3.216666667,0.802,0.567,0.707
125:41:31,194,3.233333333,0.803,0.567,0.707
125:41:32,195,3.25,0.801,0.567,0.707
125:41:33,196,3.266666667,0.801,0.567,0.709
125:41:34,197,3.283333333,0.801,0.567,0.708
125:41:35,198,3.3,0.802,0.567,0.708
125:41:36,199,3.316666667,0.801,0.567,0.707
125:41:37,200,3.333333333,0.802,0.567,0.707
125:41:38,201,3.35,0.801,0.567,0.706
125:41:39,202,3.366666667,0.802,0.567,0.705
125:41:40,203,3.383333333,0.802,0.567,0.703
125:41:41,204,3.4,0.801,0.567,0.704
125:41:42,205,3.416666667,0.8,0.567,0.703
125:41:43,206,3.433333333,0.802,0.567,0.703
125:41:44,207,3.45,0.8,0.567,0.703
125:41:45,208,3.466666667,0.8,0.567,0.705
125:41:46,209,3.483333333,0.801,0.567,0.706
125:41:47,210,3.5,0.8,0.566,0.706
125:41:48,211,3.516666667,0.8,0.567,0.707
125:41:49,212,3.533333333,0.802,0.567,0.707
125:41:50,213,3.55,0.801,0.567,0.707
125:41:51,214,3.566666667,0.801,0.566,0.706
125:41:52,215,3.583333333,0.802,0.567,0.704
125:41:53,216,3.6,0.8,0.566,0.698
125:41:54,217,3.616666667,0.801,0.566,0.693
125:41:55,218,3.633333333,0.8,0.566,0.691
125:41:56,219,3.65,0.799,0.566,0.692
125:41:57,220,3.666666667,0.8,0.566,0.692
125:41:58,221,3.683333333,0.799,0.566,0.697
125:41:59,222,3.7,0.799,0.566,0.699
125:42:00,223,3.716666667,0.801,0.566,0.7
125:42:01,224,3.733333333,0.8,0.566,0.702
125:42:02,225,3.75,0.801,0.566,0.703
125:42:03,226,3.766666667,0.801,0.566,0.702
125:42:04,227,3.783333333,0.799,0.566,0.702
125:42:05,228,3.8,0.8,0.566,0.701
125:42:06,229,3.816666667,0.799,0.566,0.698
125:42:07,230,3.833333333,0.8,0.566,0.699
125:42:08,231,3.85,0.8,0.566,0.7
125:42:09,232,3.866666667,0.799,0.566,0.702
125:42:10,233,3.883333333,0.799,0.566,0.703
125:42:11,234,3.9,0.801,0.566,0.704
125:42:12,235,3.916666667,0.799,0.565,0.704
125:42:13,236,3.933333333,0.8,0.566,0.705
125:42:14,237,3.95,0.8,0.565,0.704
125:42:15,238,3.966666667,0.8,0.565,0.705
125:42:16,239,3.983333333,0.8,0.565,0.703
125:42:17,240,4,0.799,0.565,0.703
125:42:18,241,4.016666667,0.799,0.565,0.702
125:42:19,242,4.033333333,0.8,0.565,0.7
125:42:20,243,4.05,0.799,0.565,0.7
125:42:21,244,4.066666667,0.799,0.565,0.701
125:42:22,245,4.083333333,0.8,0.565,0.702
125:42:23,246,4.1,0.799,0.565,0.704
125:42:24,247,4.116666667,0.801,0.565,0.704
125:42:25,248,4.133333333,0.798,0.565,0.703
125:42:26,249,4.15,0.799,0.565,0.704
125:42:27,250,4.166666667,0.8,0.565,0.704
125:42:28,251,4.183333333,0.8,0.565,0.705
125:42:29,252,4.2,0.8,0.565,0.705
125:42:30,253,4.216666667,0.801,0.565,0.705
125:42:31,254,4.233333333,0.799,0.565,0.704
125:42:32,255,4.25,0.8,0.565,0.705
125:42:33,256,4.266666667,0.8,0.565,0.703
125:42:34,257,4.283333333,0.799,0.565,0.703
125:42:35,258,4.3,0.799,0.565,0.702
125:42:36,259,4.316666667,0.8,0.565,0.701
125:42:37,260,4.333333333,0.798,0.565,0.701
125:42:38,261,4.35,0.799,0.565,0.702
125:42:39,262,4.366666667,0.8,0.565,0.702
125:42:40,263,4.383333333,0.798,0.565,0.702
125:42:41,264,4.4,0.799,0.565,0.703
125:42:42,265,4.416666667,0.799,0.565,0.703
125:42:43,266,4.433333333,0.798,0.565,0.704
125:42:44,267,4.45,0.798,0.564,0.704
125:42:45,268,4.466666667,0.8,0.564,0.704
125:42:46,269,4.483333333,0.798,0.564,0.704
125:42:47,270,4.5,0.799,0.564,0.705
125:42:48,271,4.516666667,0.799,0.563,0.704
125:42:49,272,4.533333333,0.799,0.564,0.704
125:42:50,273,4.55,0.798,0.563,0.704
125:42:51,274,4.566666667,0.799,0.563,0.704
125:42:52,275,4.583333333,0.798,0.562,0.704
125:42:53,276,4.6,0.798,0.562,0.704
125:42:54,277,4.616666667,0.799,0.562,0.703
125:42:55,278,4.633333333,0.799,0.562,0.702
125:42:56,279,4.65,0.798,0.562,0.7
125:42:57,280,4.666666667,0.797,0.562,0.7
125:42:58,281,4.683333333,0.799,0.562,0.701
125:42:59,282,4.7,0.797,0.562,0.702
125:43:00,283,4.716666667,0.798,0.562,0.704
125:43:01,284,4.733333333,0.798,0.562,0.704
125:43:02,285,4.75,0.799,0.562,0.704
125:43:03,286,4.766666667,0.797,0.561,0.703
125:43:04,287,4.783333333,0.799,0.562,0.702
125:43:05,288,4.8,0.798,0.561,0.699
125:43:06,289,4.816666667,0.798,0.562,0.697
125:43:07,290,4.833333333,0.797,0.561,0.696
125:43:08,291,4.85,0.799,0.562,0.699
125:43:09,292,4.866666667,0.797,0.562,0.7
125:43:10,293,4.883333333,0.798,0.562,0.702
125:43:11,294,4.9,0.798,0.562,0.702
125:43:12,295,4.916666667,0.798,0.562,0.701
125:43:13,296,4.933333333,0.798,0.562,0.701
125:43:14,297,4.95,0.799,0.561,0.699
125:43:15,298,4.966666667,0.797,0.561,0.698
125:43:16,299,4.983333333,0.797,0.561,0.697
125:43:17,300,5,0.798,0.561,0.697
125:43:18,301,5.016666667,0.797,0.561,0.698
125:43:19,302,5.033333333,0.797,0.561,0.701
125:43:20,303,5.05,0.797,0.56,0.701
125:43:21,304,5.066666667,0.797,0.561,0.701
125:43:22,305,5.083333333,0.796,0.561,0.701
125:43:23,306,5.1,0.798,0.561,0.701
125:43:24,307,5.116666667,0.796,0.56,0.699
125:43:25,308,5.133333333,0.798,0.561,0.7
125:43:26,309,5.15,0.798,0.56,0.699
125:43:27,310,5.166666667,0.797,0.56,0.7
125:43:28,311,5.183333333,0.798,0.56,0.701
125:43:29,312,5.2,0.799,0.56,0.701
125:43:30,313,5.216666667,0.798,0.56,0.701
125:43:31,314,5.233333333,0.799,0.56,0.702
125:43:32,315,5.25,0.799,0.56,0.701
125:43:33,316,5.266666667,0.797,0.559,0.701
125:43:34,317,5.283333333,0.798,0.56,0.7
125:43:35,318,5.3,0.797,0.56,0.699
125:43:36,319,5.316666667,0.796,0.56,0.699
125:43:37,320,5.333333333,0.797,0.56,0.699
125:43:38,321,5.35,0.797,0.56,0.7
125:43:39,322,5.366666667,0.796,0.56,0.701
125:43:40,323,5.383333333,0.799,0.56,0.702
125:43:41,324,5.4,0.796,0.56,0.7
125:43:42,325,5.416666667,0.797,0.56,0.702
125:43:43,326,5.433333333,0.798,0.56,0.701
125:43:44,327,5.45,0.797,0.56,0.701
125:43:45,328,5.466666667,0.797,0.56,0.7
125:43:46,329,5.483333333,0.798,0.56,0.7
125:43:47,330,5.5,0.796,0.56,0.7
125:43:48,331,5.516666667,0.798,0.559,0.701
125:43:49,332,5.533333333,0.797,0.559,0.702
125:43:50,333,5.55,0.797,0.559,0.702
125:43:51,334,5.566666667,0.798,0.56,0.702
125:43:52,335,5.583333333,0.797,0.559,0.702
125:43:53,336,5.6,0.797,0.56,0.703
125:43:54,337,5.616666667,0.797,0.559,0.702
125:43:55,338,5.633333333,0.796,0.559,0.701
125:43:56,339,5.65,0.796,0.559,0.697
125:43:57,340,5.666666667,0.797,0.559,0.692
125:43:58,341,5.683333333,0.795,0.559,0.686
125:43:59,342,5.7,0.796,0.559,0.685
125:44:00,343,5.716666667,0.796,0.558,0.688
125:44:01,344,5.733333333,0.795,0.559,0.692
125:44:02,345,5.75,0.796,0.559,0.694
125:44:03,346,5.766666667,0.796,0.559,0.696
125:44:04,347,5.783333333,0.795,0.559,0.697
125:44:05,348,5.8,0.796,0.559,0.698
125:44:06,349,5.816666667,0.795,0.559,0.698
125:44:07,350,5.833333333,0.794,0.559,0.699
125:44:08,351,5.85,0.796,0.559,0.698
125:44:09,352,5.866666667,0.794,0.558,0.699
125:44:10,353,5.883333333,0.795,0.559,0.699
125:44:11,354,5.9,0.796,0.558,0.699
125:44:12,355,5.916666667,0.795,0.558,0.7
125:44:13,356,5.933333333,0.795,0.558,0.699
125:44:14,357,5.95,0.796,0.559,0.7
125:44:15,358,5.966666667,0.794,0.558,0.699
125:44:16,359,5.983333333,0.795,0.559,0.7
125:44:17,360,6,0.796,0.559,0.699
125:44:18,361,6.016666667,0.795,0.559,0.7
125:44:19,362,6.033333333,0.796,0.559,0.699
125:44:20,363,6.05,0.797,0.559,0.699
125:44:21,364,6.066666667,0.795,0.559,0.698
125:44:22,365,6.083333333,0.796,0.559,0.699
125:44:23,366,6.1,0.796,0.558,0.697
125:44:24,367,6.116666667,0.795,0.558,0.698
125:44:25,368,6.133333333,0.795,0.559,0.698
125:44:26,369,6.15,0.795,0.559,0.699
125:44:27,370,6.166666667,0.794,0.559,0.7
125:44:28,371,6.183333333,0.795,0.558,0.7
125:44:29,372,6.2,0.795,0.559,0.701
125:44:30,373,6.216666667,0.793,0.558,0.701
125:44:31,374,6.233333333,0.796,0.559,0.701
125:44:32,375,6.25,0.795,0.558,0.7
125:44:33,376,6.266666667,0.794,0.558,0.7
125:44:34,377,6.283333333,0.795,0.558,0.7
125:44:35,378,6.3,0.797,0.558,0.7
125:44:36,379,6.316666667,0.795,0.558,0.7
125:44:37,380,6.333333333,0.796,0.558,0.701
125:44:38,381,6.35,0.797,0.558,0.699
125:44:39,382,6.366666667,0.796,0.558,0.7
125:44:40,383,6.383333333,0.797,0.558,0.699
125:44:41,384,6.4,0.797,0.558,0.698
125:44:42,385,6.416666667,0.795,0.558,0.696
125:44:43,386,6.433333333,0.797,0.558,0.697
125:44:44,387,6.45,0.797,0.558,0.698
125:44:45,388,6.466666667,0.795,0.558,0.699
125:44:46,389,6.483333333,0.797,0.558,0.699
125:44:47,390,6.5,0.796,0.558,0.698
125:44:48,391,6.516666667,0.796,0.558,0.699
125:44:49,392,6.533333333,0.796,0.558,0.697
125:44:50,393,6.55,0.796,0.558,0.697
125:44:51,394,6.566666667,0.795,0.558,0.696
125:44:52,395,6.583333333,0.797,0.558,0.697
125:44:53,396,6.6,0.796,0.558,0.698
125:44:54,397,6.616666667,0.795,0.558,0.7
125:44:55,398,6.633333333,0.796,0.558,0.699
125:44:56,399,6.65,0.797,0.558,0.7
125:44:57,400,6.666666667,0.795,0.558,0.7
125:44:58,401,6.683333333,0.797,0.558,0.7
125:44:59,402,6.7,0.796,0.558,0.699
125:45:00,403,6.716666667,0.794,0.557,0.7
125:45:01,404,6.733333333,0.795,0.557,0.7
125:45:02,405,6.75,0.795,0.557,0.697
125:45:03,406,6.766666667,0.794,0.557,0.692
125:45:04,407,6.783333333,0.793,0.557,0.691
125:45:05,408,6.8,0.794,0.557,0.694
125:45:06,409,6.816666667,0.793,0.556,0.694
125:45:07,410,6.833333333,0.793,0.557,0.692
125:45:08,411,6.85,0.793,0.556,0.683
125:45:09,412,6.866666667,0.792,0.556,0.676
125:45:10,413,6.883333333,0.791,0.556,0.667
125:45:11,414,6.9,0.792,0.556,0.66
125:45:12,415,6.916666667,0.79,0.555,0.651
125:45:13,416,6.933333333,0.789,0.555,0.645
125:45:14,417,6.95,0.79,0.554,0.637
125:45:15,418,6.966666667,0.788,0.554,0.631
125:45:16,419,6.983333333,0.787,0.554,0.624
125:45:17,420,7,0.789,0.554,0.634
125:45:18,421,7.016666667,0.788,0.554,0.649
125:45:19,422,7.033333333,0.789,0.554,0.661
125:45:20,423,7.05,0.791,0.554,0.669
125:45:21,424,7.066666667,0.791,0.554,0.669
125:45:22,425,7.083333333,0.791,0.554,0.665
125:45:23,426,7.1,0.791,0.554,0.658
125:45:24,427,7.116666667,0.79,0.554,0.652
125:45:25,428,7.133333333,0.789,0.547,0.645
125:45:26,429,7.15,0.791,0.545,0.64
125:45:27,430,7.166666667,0.788,0.543,0.632
125:45:28,431,7.183333333,0.788,0.544,0.628
125:45:29,432,7.2,0.788,0.545,0.621
125:45:30,433,7.216666667,0.787,0.545,0.617
125:45:31,434,7.233333333,0.786,0.546,0.612
125:45:32,435,7.25,0.788,0.547,0.608
125:45:33,436,7.266666667,0.786,0.547,0.604
125:45:34,437,7.283333333,0.786,0.548,0.601
125:45:35,438,7.3,0.787,0.549,0.596
125:45:36,439,7.316666667,0.785,0.549,0.593
125:45:37,440,7.333333333,0.779,0.55,0.59
125:45:38,441,7.35,0.774,0.55,0.586
125:45:39,442,7.366666667,0.776,0.551,0.584
125:45:40,443,7.383333333,0.776,0.551,0.581
125:45:41,444,7.4,0.781,0.552,0.581
125:45:42,445,7.416666667,0.781,0.552,0.595
125:45:43,446,7.433333333,0.786,0.554,0.621
125:45:44,447,7.45,0.79,0.554,0.633
125:45:45,448,7.466666667,0.793,0.555,0.648
125:45:46,449,7.483333333,0.795,0.556,0.658
125:45:47,450,7.5,0.799,0.557,0.664
125:45:48,451,7.516666667,0.798,0.557,0.67
125:45:49,452,7.533333333,0.801,0.558,0.676
125:45:50,453,7.55,0.803,0.559,0.675
125:45:51,454,7.566666667,0.803,0.559,0.679
125:45:52,455,7.583333333,0.805,0.56,0.681
125:45:53,456,7.6,0.807,0.56,0.68
125:45:54,457,7.616666667,0.807,0.561,0.677
125:45:55,458,7.633333333,0.808,0.561,0.676
125:45:56,459,7.65,0.811,0.562,0.681
125:45:57,460,7.666666667,0.811,0.562,0.681
125:45:58,461,7.683333333,0.812,0.562,0.676
125:45:59,462,7.7,0.813,0.562,0.67
125:46:00,463,7.716666667,0.812,0.563,0.663
125:46:01,464,7.733333333,0.812,0.563,0.656
125:46:02,465,7.75,0.814,0.563,0.649
125:46:03,466,7.766666667,0.812,0.563,0.643
125:46:04,467,7.783333333,0.813,0.563,0.637
125:46:05,468,7.8,0.814,0.563,0.63
125:46:06,469,7.816666667,0.813,0.563,0.626
125:46:07,470,7.833333333,0.813,0.563,0.621
125:46:08,471,7.85,0.815,0.564,0.63
125:46:09,472,7.866666667,0.815,0.564,0.647
125:46:10,473,7.883333333,0.817,0.565,0.658
125:46:11,474,7.9,0.819,0.565,0.667
125:46:12,475,7.916666667,0.819,0.566,0.673
125:46:13,476,7.933333333,0.821,0.566,0.676
125:46:14,477,7.95,0.821,0.566,0.679
125:46:15,478,7.966666667,0.821,0.567,0.683
125:46:16,479,7.983333333,0.822,0.567,0.685
125:46:17,480,8,0.822,0.567,0.687
125:46:18,481,8.016666667,0.822,0.567,0.688
125:46:19,482,8.033333333,0.825,0.568,0.69
125:46:20,483,8.05,0.823,0.567,0.691
125:46:21,484,8.066666667,0.824,0.568,0.694
125:46:22,485,8.083333333,0.825,0.568,0.694
125:46:23,486,8.1,0.825,0.568,0.696
125:46:24,487,8.116666667,0.825,0.569,0.696
125:46:25,488,8.133333333,0.827,0.569,0.698
125:46:26,489,8.15,0.825,0.569,0.699
125:46:27,490,8.166666667,0.826,0.569,0.7
125:46:28,491,8.183333333,0.827,0.569,0.699
125:46:29,492,8.2,0.826,0.569,0.699
125:46:30,493,8.216666667,0.826,0.569,0.699
125:46:31,494,8.233333333,0.827,0.569,0.699
125:46:32,495,8.25,0.826,0.569,0.7
125:46:33,496,8.266666667,0.826,0.569,0.7
125:46:34,497,8.283333333,0.828,0.569,0.7
125:46:35,498,8.3,0.826,0.568,0.699
125:46:36,499,8.316666667,0.827,0.569,0.701
125:46:37,500,8.333333333,0.827,0.569,0.701
125:46:38,501,8.35,0.827,0.569,0.702
125:46:39,502,8.366666667,0.826,0.569,0.702
125:46:40,503,8.383333333,0.828,0.569,0.702
125:46:41,504,8.4,0.827,0.569,0.701
125:46:42,505,8.416666667,0.827,0.57,0.703
125:46:43,506,8.433333333,0.827,0.569,0.703
125:46:44,507,8.45,0.828,0.57,0.703
125:46:45,508,8.466666667,0.826,0.569,0.703
125:46:46,509,8.483333333,0.827,0.57,0.704
125:46:47,510,8.5,0.828,0.57,0.704
125:46:48,511,8.516666667,0.827,0.569,0.704
125:46:49,512,8.533333333,0.828,0.57,0.705
125:46:50,513,8.55,0.828,0.57,0.705
125:46:51,514,8.566666667,0.829,0.57,0.705
125:46:52,515,8.583333333,0.827,0.569,0.704
125:46:53,516,8.6,0.828,0.57,0.705
125:46:54,517,8.616666667,0.828,0.569,0.704
125:46:55,518,8.633333333,0.827,0.57,0.704
125:46:56,519,8.65,0.826,0.569,0.703
125:46:57,520,8.666666667,0.828,0.57,0.704
125:46:58,521,8.683333333,0.827,0.569,0.703
125:46:59,522,8.7,0.827,0.569,0.704
125:47:00,523,8.716666667,0.827,0.569,0.703
125:47:01,524,8.733333333,0.828,0.569,0.703
125:47:02,525,8.75,0.827,0.569,0.703
125:47:03,526,8.766666667,0.827,0.57,0.704
125:47:04,527,8.783333333,0.828,0.57,0.704
125:47:05,528,8.8,0.827,0.57,0.704
125:47:06,529,8.816666667,0.827,0.57,0.705
125:47:07,530,8.833333333,0.827,0.57,0.704
125:47:08,531,8.85,0.827,0.57,0.705
125:47:09,532,8.866666667,0.826,0.57,0.704
125:47:10,533,8.883333333,0.827,0.57,0.705
125:47:11,534,8.9,0.827,0.57,0.704
125:47:12,535,8.916666667,0.828,0.57,0.704
125:47:13,536,8.933333333,0.827,0.57,0.703
125:47:14,537,8.95,0.827,0.57,0.704
125:47:15,538,8.966666667,0.826,0.57,0.703
125:47:16,539,8.983333333,0.827,0.57,0.704
125:47:17,540,9,0.826,0.57,0.703
125:47:18,541,9.016666667,0.826,0.57,0.705
125:47:19,542,9.033333333,0.826,0.57,0.705
125:47:20,543,9.05,0.827,0.57,0.706
125:47:21,544,9.066666667,0.826,0.57,0.705
125:47:22,545,9.083333333,0.825,0.57,0.706
125:47:23,546,9.1,0.826,0.57,0.706
125:47:24,547,9.116666667,0.827,0.57,0.706
